Trajectory - Seconds: 10.07, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: -2.30), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: -0.21), 
State(Sec: 0.40, Vel m/s: 0.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.38, Y: -2.30), Rotation2d(Rads: -0.02, Deg: -0.98)), Curvature: -0.23), 
State(Sec: 0.56, Vel m/s: 0.56, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.45, Y: -2.30), Rotation2d(Rads: -0.04, Deg: -2.02)), Curvature: -0.25), 
State(Sec: 0.68, Vel m/s: 0.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.53, Y: -2.31), Rotation2d(Rads: -0.05, Deg: -3.11)), Curvature: -0.27), 
State(Sec: 0.78, Vel m/s: 0.78, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.60, Y: -2.31), Rotation2d(Rads: -0.07, Deg: -4.26)), Curvature: -0.29), 
State(Sec: 0.86, Vel m/s: 0.86, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.67, Y: -2.32), Rotation2d(Rads: -0.10, Deg: -5.46)), Curvature: -0.31), 
State(Sec: 0.94, Vel m/s: 0.94, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.74, Y: -2.32), Rotation2d(Rads: -0.12, Deg: -6.72)), Curvature: -0.33), 
State(Sec: 1.01, Vel m/s: 1.01, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.81, Y: -2.33), Rotation2d(Rads: -0.14, Deg: -8.02)), Curvature: -0.34), 
State(Sec: 1.07, Vel m/s: 1.07, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.87, Y: -2.34), Rotation2d(Rads: -0.16, Deg: -9.36)), Curvature: -0.36), 
State(Sec: 1.13, Vel m/s: 1.13, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.94, Y: -2.35), Rotation2d(Rads: -0.19, Deg: -10.73)), Curvature: -0.37), 
State(Sec: 1.19, Vel m/s: 1.19, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.00, Y: -2.37), Rotation2d(Rads: -0.21, Deg: -12.13)), Curvature: -0.39), 
State(Sec: 1.29, Vel m/s: 1.29, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.12, Y: -2.40), Rotation2d(Rads: -0.26, Deg: -14.98)), Curvature: -0.40), 
State(Sec: 1.38, Vel m/s: 1.38, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.24, Y: -2.43), Rotation2d(Rads: -0.31, Deg: -17.84)), Curvature: -0.40), 
State(Sec: 1.47, Vel m/s: 1.47, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.36, Y: -2.47), Rotation2d(Rads: -0.36, Deg: -20.62)), Curvature: -0.39), 
State(Sec: 1.55, Vel m/s: 1.55, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.47, Y: -2.52), Rotation2d(Rads: -0.41, Deg: -23.25)), Curvature: -0.36), 
State(Sec: 1.63, Vel m/s: 1.63, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.59, Y: -2.57), Rotation2d(Rads: -0.45, Deg: -25.68)), Curvature: -0.32), 
State(Sec: 1.67, Vel m/s: 1.67, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.64, Y: -2.60), Rotation2d(Rads: -0.47, Deg: -26.80)), Curvature: -0.30), 
State(Sec: 1.70, Vel m/s: 1.70, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.70, Y: -2.63), Rotation2d(Rads: -0.49, Deg: -27.86)), Curvature: -0.28), 
State(Sec: 1.74, Vel m/s: 1.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.76, Y: -2.66), Rotation2d(Rads: -0.50, Deg: -28.84)), Curvature: -0.25), 
State(Sec: 1.78, Vel m/s: 1.78, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.81, Y: -2.69), Rotation2d(Rads: -0.52, Deg: -29.74)), Curvature: -0.23), 
