Trajectory - Seconds: 10.51, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.60, Y: 2.27), Rotation2d(Rads: -0.00, Deg: -0.11)), Curvature: 0.00), 
State(Sec: 0.45, Vel m/s: 0.45, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.70, Y: 2.27), Rotation2d(Rads: -0.02, Deg: -1.09)), Curvature: -0.29), 
State(Sec: 0.65, Vel m/s: 0.65, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.81, Y: 2.27), Rotation2d(Rads: -0.06, Deg: -3.20)), Curvature: -0.34), 
State(Sec: 0.82, Vel m/s: 0.82, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.94, Y: 2.26), Rotation2d(Rads: -0.09, Deg: -5.43)), Curvature: -0.28), 
State(Sec: 0.90, Vel m/s: 0.90, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.00, Y: 2.25), Rotation2d(Rads: -0.11, Deg: -6.44)), Curvature: -0.24), 
State(Sec: 0.98, Vel m/s: 0.98, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.08, Y: 2.24), Rotation2d(Rads: -0.13, Deg: -7.36)), Curvature: -0.20), 
State(Sec: 1.05, Vel m/s: 1.05, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.15, Y: 2.23), Rotation2d(Rads: -0.14, Deg: -8.18)), Curvature: -0.17), 
State(Sec: 1.13, Vel m/s: 1.13, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.23, Y: 2.22), Rotation2d(Rads: -0.16, Deg: -8.92)), Curvature: -0.15), 
State(Sec: 1.20, Vel m/s: 1.20, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.31, Y: 2.21), Rotation2d(Rads: -0.17, Deg: -9.57)), Curvature: -0.13), 
State(Sec: 1.27, Vel m/s: 1.27, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.40, Y: 2.19), Rotation2d(Rads: -0.18, Deg: -10.14)), Curvature: -0.11), 
State(Sec: 1.33, Vel m/s: 1.33, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.48, Y: 2.18), Rotation2d(Rads: -0.19, Deg: -10.66)), Curvature: -0.10), 
State(Sec: 1.40, Vel m/s: 1.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.57, Y: 2.16), Rotation2d(Rads: -0.19, Deg: -11.12)), Curvature: -0.09), 
State(Sec: 1.46, Vel m/s: 1.46, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.66, Y: 2.14), Rotation2d(Rads: -0.20, Deg: -11.53)), Curvature: -0.08), 
State(Sec: 1.52, Vel m/s: 1.52, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.74, Y: 2.12), Rotation2d(Rads: -0.21, Deg: -11.90)), Curvature: -0.07), 
State(Sec: 1.57, Vel m/s: 1.57, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.83, Y: 2.11), Rotation2d(Rads: -0.21, Deg: -12.23)), Curvature: -0.07), 
State(Sec: 1.63, Vel m/s: 1.63, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.91, Y: 2.09), Rotation2d(Rads: -0.22, Deg: -12.54)), Curvature: -0.06), 
State(Sec: 1.68, Vel m/s: 1.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.99, Y: 2.07), Rotation2d(Rads: -0.22, Deg: -12.82)), Curvature: -0.06), 
State(Sec: 1.72, Vel m/s: 1.72, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.06, Y: 2.05), Rotation2d(Rads: -0.23, Deg: -13.09)), Curvature: -0.06), 
State(Sec: 1.76, Vel m/s: 1.76, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.14, Y: 2.04), Rotation2d(Rads: -0.23, Deg: -13.33)), Curvature: -0.06), 
State(Sec: 1.80, Vel m/s: 1.80, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.20, Y: 2.02), Rotation2d(Rads: -0.24, Deg: -13.57)), Curvature: -0.06), 
State(Sec: 1.87, Vel m/s: 1.87, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.32, Y: 1.99), Rotation2d(Rads: -0.24, Deg: -14.02)), Curvature: -0.07), 
State(Sec: 1.92, Vel m/s: 1.92, Accel m/s/s: 0.12, Pose: Pose2d(Translation2d(X: 2.41, Y: 1.97), Rotation2d(Rads: -0.25, Deg: -14.47)), Curvature: -0.10), 
State(Sec: 1.96, Vel m/s: 1.92, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.48, Y: 1.95), Rotation2d(Rads: -0.26, Deg: -14.96)), Curvature: -0.14), 
State(Sec: 2.01, Vel m/s: 1.97, Accel m/s/s: -0.80, Pose: Pose2d(Translation2d(X: 2.57, Y: 1.92), Rotation2d(Rads: -0.27, Deg: -15.71)), Curvature: -0.00), 
State(Sec: 2.06, Vel m/s: 1.93, Accel m/s/s: 0.65, Pose: Pose2d(Translation2d(X: 2.67, Y: 1.90), Rotation2d(Rads: -0.26, Deg: -14.77)), Curvature: 0.13), 
State(Sec: 2.10, Vel m/s: 1.96, Accel m/s/s: 0.20, Pose: Pose2d(Translation2d(X: 2.76, Y: 1.88), Rotation2d(Rads: -0.25, Deg: -14.28)), Curvature: 0.07), 
State(Sec: 2.17, Vel m/s: 1.97, Accel m/s/s: 0.08, Pose: Pose2d(Translation2d(X: 2.88, Y: 1.85), Rotation2d(Rads: -0.24, Deg: -13.85)), Curvature: 0.05), 
State(Sec: 2.20, Vel m/s: 1.97, Accel m/s/s: 0.04, Pose: Pose2d(Translation2d(X: 2.95, Y: 1.83), Rotation2d(Rads: -0.24, Deg: -13.65)), Curvature: 0.05), 
State(Sec: 2.24, Vel m/s: 1.98, Accel m/s/s: 0.02, Pose: Pose2d(Translation2d(X: 3.03, Y: 1.81), Rotation2d(Rads: -0.23, Deg: -13.44)), Curvature: 0.04), 
State(Sec: 2.29, Vel m/s: 1.98, Accel m/s/s: 0.00, Pose: Pose2d(Translation2d(X: 3.12, Y: 1.79), Rotation2d(Rads: -0.23, Deg: -13.23)), Curvature: 0.04), 
State(Sec: 2.34, Vel m/s: 1.98, Accel m/s/s: -0.01, Pose: Pose2d(Translation2d(X: 3.21, Y: 1.77), Rotation2d(Rads: -0.23, Deg: -13.00)), Curvature: 0.04), 
State(Sec: 2.39, Vel m/s: 1.98, Accel m/s/s: -0.02, Pose: Pose2d(Translation2d(X: 3.31, Y: 1.74), Rotation2d(Rads: -0.22, Deg: -12.75)), Curvature: 0.04), 
State(Sec: 2.45, Vel m/s: 1.98, Accel m/s/s: -0.76, Pose: Pose2d(Translation2d(X: 3.42, Y: 1.72), Rotation2d(Rads: -0.22, Deg: -12.49)), Curvature: 0.04), 
State(Sec: 2.50, Vel m/s: 1.93, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.53, Y: 1.70), Rotation2d(Rads: -0.21, Deg: -12.19)), Curvature: 0.05), 
State(Sec: 2.56, Vel m/s: 1.87, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.64, Y: 1.67), Rotation2d(Rads: -0.21, Deg: -11.87)), Curvature: 0.05), 
State(Sec: 2.63, Vel m/s: 1.81, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.75, Y: 1.65), Rotation2d(Rads: -0.20, Deg: -11.51)), Curvature: 0.06), 
State(Sec: 2.69, Vel m/s: 1.74, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.87, Y: 1.62), Rotation2d(Rads: -0.19, Deg: -11.10)), Curvature: 0.07), 
State(Sec: 2.76, Vel m/s: 1.68, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.98, Y: 1.60), Rotation2d(Rads: -0.19, Deg: -10.63)), Curvature: 0.08), 
State(Sec: 2.83, Vel m/s: 1.61, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 4.09, Y: 1.58), Rotation2d(Rads: -0.18, Deg: -10.10)), Curvature: 0.09), 
