Trajectory - Seconds: 10.37, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: -2.30), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: -0.09), 
State(Sec: 0.40, Vel m/s: 0.40, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.38, Y: -2.30), Rotation2d(Rads: -0.01, Deg: -0.45)), Curvature: -0.10), 
State(Sec: 0.56, Vel m/s: 0.56, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.46, Y: -2.30), Rotation2d(Rads: -0.02, Deg: -0.92)), Curvature: -0.11), 
State(Sec: 0.68, Vel m/s: 0.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.53, Y: -2.30), Rotation2d(Rads: -0.03, Deg: -1.43)), Curvature: -0.12), 
State(Sec: 0.79, Vel m/s: 0.79, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.61, Y: -2.31), Rotation2d(Rads: -0.03, Deg: -1.97)), Curvature: -0.13), 
State(Sec: 0.87, Vel m/s: 0.87, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.68, Y: -2.31), Rotation2d(Rads: -0.04, Deg: -2.54)), Curvature: -0.14), 
State(Sec: 0.95, Vel m/s: 0.95, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.75, Y: -2.31), Rotation2d(Rads: -0.05, Deg: -3.14)), Curvature: -0.15), 
State(Sec: 1.03, Vel m/s: 1.03, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.83, Y: -2.32), Rotation2d(Rads: -0.07, Deg: -3.77)), Curvature: -0.16), 
State(Sec: 1.09, Vel m/s: 1.09, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.90, Y: -2.32), Rotation2d(Rads: -0.08, Deg: -4.43)), Curvature: -0.17), 
State(Sec: 1.15, Vel m/s: 1.15, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.96, Y: -2.33), Rotation2d(Rads: -0.09, Deg: -5.12)), Curvature: -0.18), 
State(Sec: 1.21, Vel m/s: 1.21, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.03, Y: -2.33), Rotation2d(Rads: -0.10, Deg: -5.84)), Curvature: -0.19), 
