Trajectory - Seconds: 10.90, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: 2.27), Rotation2d(Rads: 0.01, Deg: 0.39)), Curvature: 0.00), 
State(Sec: 0.42, Vel m/s: 0.42, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.39, Y: 2.27), Rotation2d(Rads: 0.01, Deg: 0.34)), Curvature: -0.02), 
State(Sec: 0.60, Vel m/s: 0.60, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.48, Y: 2.27), Rotation2d(Rads: 0.00, Deg: 0.24)), Curvature: -0.02), 
State(Sec: 0.74, Vel m/s: 0.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.57, Y: 2.27), Rotation2d(Rads: 0.00, Deg: 0.14)), Curvature: -0.02), 
State(Sec: 0.86, Vel m/s: 0.86, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.67, Y: 2.27), Rotation2d(Rads: 0.00, Deg: 0.06)), Curvature: -0.01), 
State(Sec: 0.96, Vel m/s: 0.96, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.76, Y: 2.27), Rotation2d(Rads: 0.00, Deg: 0.04)), Curvature: 0.00), 
State(Sec: 1.06, Vel m/s: 1.06, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.87, Y: 2.27), Rotation2d(Rads: 0.00, Deg: 0.09)), Curvature: 0.01), 
State(Sec: 1.16, Vel m/s: 1.16, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.97, Y: 2.27), Rotation2d(Rads: 0.00, Deg: 0.21)), Curvature: 0.03), 
State(Sec: 1.25, Vel m/s: 1.25, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.08, Y: 2.27), Rotation2d(Rads: 0.01, Deg: 0.40)), Curvature: 0.04), 
State(Sec: 1.33, Vel m/s: 1.33, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.19, Y: 2.28), Rotation2d(Rads: 0.01, Deg: 0.65)), Curvature: 0.04), 
State(Sec: 1.41, Vel m/s: 1.41, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.30, Y: 2.28), Rotation2d(Rads: 0.02, Deg: 0.94)), Curvature: 0.05), 
