Trajectory - Seconds: 12.62, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: -2.30), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: -0.32), 
State(Sec: 0.37, Vel m/s: 0.37, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.37, Y: -2.30), Rotation2d(Rads: -0.02, Deg: -1.20)), Curvature: -0.30), 
State(Sec: 0.52, Vel m/s: 0.52, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.43, Y: -2.30), Rotation2d(Rads: -0.04, Deg: -2.31)), Curvature: -0.28), 
State(Sec: 0.63, Vel m/s: 0.63, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.50, Y: -2.31), Rotation2d(Rads: -0.06, Deg: -3.33)), Curvature: -0.26), 
State(Sec: 0.73, Vel m/s: 0.73, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.56, Y: -2.31), Rotation2d(Rads: -0.07, Deg: -4.24)), Curvature: -0.23), 
State(Sec: 0.81, Vel m/s: 0.81, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.63, Y: -2.32), Rotation2d(Rads: -0.09, Deg: -5.06)), Curvature: -0.21), 
State(Sec: 0.88, Vel m/s: 0.88, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.69, Y: -2.32), Rotation2d(Rads: -0.10, Deg: -5.76)), Curvature: -0.18), 
State(Sec: 1.02, Vel m/s: 1.02, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.81, Y: -2.34), Rotation2d(Rads: -0.12, Deg: -6.84)), Curvature: -0.12), 
State(Sec: 1.13, Vel m/s: 1.13, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.93, Y: -2.35), Rotation2d(Rads: -0.13, Deg: -7.44)), Curvature: -0.05), 
State(Sec: 1.23, Vel m/s: 1.23, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.05, Y: -2.37), Rotation2d(Rads: -0.13, Deg: -7.52)), Curvature: 0.03), 
State(Sec: 1.32, Vel m/s: 1.32, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.17, Y: -2.38), Rotation2d(Rads: -0.12, Deg: -7.06)), Curvature: 0.11), 
State(Sec: 1.40, Vel m/s: 1.40, Accel m/s/s: 0.27, Pose: Pose2d(Translation2d(X: 1.28, Y: -2.39), Rotation2d(Rads: -0.10, Deg: -6.01)), Curvature: 0.21), 
State(Sec: 1.48, Vel m/s: 1.43, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.39, Y: -2.40), Rotation2d(Rads: -0.08, Deg: -4.33)), Curvature: 0.32), 
State(Sec: 1.56, Vel m/s: 1.35, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.50, Y: -2.41), Rotation2d(Rads: -0.03, Deg: -1.97)), Curvature: 0.44), 
State(Sec: 1.64, Vel m/s: 1.27, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.60, Y: -2.41), Rotation2d(Rads: 0.02, Deg: 1.11)), Curvature: 0.58), 
State(Sec: 1.72, Vel m/s: 1.18, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.71, Y: -2.41), Rotation2d(Rads: 0.09, Deg: 4.92)), Curvature: 0.71), 
State(Sec: 1.81, Vel m/s: 1.09, Accel m/s/s: -0.72, Pose: Pose2d(Translation2d(X: 1.81, Y: -2.39), Rotation2d(Rads: 0.16, Deg: 9.45)), Curvature: 0.84), 
State(Sec: 1.86, Vel m/s: 1.06, Accel m/s/s: -0.55, Pose: Pose2d(Translation2d(X: 1.86, Y: -2.38), Rotation2d(Rads: 0.21, Deg: 11.97)), Curvature: 0.89), 
State(Sec: 1.91, Vel m/s: 1.03, Accel m/s/s: -0.38, Pose: Pose2d(Translation2d(X: 1.91, Y: -2.37), Rotation2d(Rads: 0.26, Deg: 14.63)), Curvature: 0.94), 
State(Sec: 1.96, Vel m/s: 1.01, Accel m/s/s: -0.23, Pose: Pose2d(Translation2d(X: 1.96, Y: -2.36), Rotation2d(Rads: 0.30, Deg: 17.42)), Curvature: 0.97), 
State(Sec: 2.01, Vel m/s: 1.00, Accel m/s/s: -0.09, Pose: Pose2d(Translation2d(X: 2.00, Y: -2.34), Rotation2d(Rads: 0.35, Deg: 20.32)), Curvature: 1.00), 
State(Sec: 2.06, Vel m/s: 1.00, Accel m/s/s: 0.04, Pose: Pose2d(Translation2d(X: 2.05, Y: -2.32), Rotation2d(Rads: 0.41, Deg: 23.30)), Curvature: 1.01), 
State(Sec: 2.12, Vel m/s: 1.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.10, Y: -2.30), Rotation2d(Rads: 0.46, Deg: 26.32)), Curvature: 1.00), 
State(Sec: 2.17, Vel m/s: 1.05, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.15, Y: -2.28), Rotation2d(Rads: 0.51, Deg: 29.18)), Curvature: 0.87), 
State(Sec: 2.22, Vel m/s: 1.10, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.19, Y: -2.25), Rotation2d(Rads: 0.55, Deg: 31.69)), Curvature: 0.75), 
State(Sec: 2.31, Vel m/s: 1.20, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.29, Y: -2.19), Rotation2d(Rads: 0.62, Deg: 35.79)), Curvature: 0.55), 
State(Sec: 2.41, Vel m/s: 1.29, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.38, Y: -2.12), Rotation2d(Rads: 0.68, Deg: 38.83)), Curvature: 0.39), 
State(Sec: 2.49, Vel m/s: 1.38, Accel m/s/s: -0.91, Pose: Pose2d(Translation2d(X: 2.46, Y: -2.04), Rotation2d(Rads: 0.72, Deg: 40.97)), Curvature: 0.26), 
State(Sec: 2.58, Vel m/s: 1.30, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.55, Y: -1.97), Rotation2d(Rads: 0.74, Deg: 42.31)), Curvature: 0.14), 
