Trajectory - Seconds: 10.44, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: 2.27), Rotation2d(Rads: -0.00, Deg: -0.15)), Curvature: 0.00), 
State(Sec: 0.39, Vel m/s: 0.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.38, Y: 2.27), Rotation2d(Rads: 0.06, Deg: 3.54)), Curvature: 1.38), 
State(Sec: 0.49, Vel m/s: 0.49, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.42, Y: 2.28), Rotation2d(Rads: 0.12, Deg: 6.99)), Curvature: 1.43), 
State(Sec: 0.57, Vel m/s: 0.57, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.46, Y: 2.28), Rotation2d(Rads: 0.18, Deg: 10.57)), Curvature: 1.25), 
State(Sec: 0.66, Vel m/s: 0.66, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.51, Y: 2.30), Rotation2d(Rads: 0.24, Deg: 13.88)), Curvature: 1.00), 
State(Sec: 0.74, Vel m/s: 0.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.57, Y: 2.31), Rotation2d(Rads: 0.29, Deg: 16.74)), Curvature: 0.76), 
State(Sec: 0.82, Vel m/s: 0.82, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.63, Y: 2.33), Rotation2d(Rads: 0.33, Deg: 19.10)), Curvature: 0.56), 
State(Sec: 0.90, Vel m/s: 0.90, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.70, Y: 2.35), Rotation2d(Rads: 0.37, Deg: 21.02)), Curvature: 0.40), 
State(Sec: 0.98, Vel m/s: 0.98, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.77, Y: 2.38), Rotation2d(Rads: 0.39, Deg: 22.53)), Curvature: 0.29), 
State(Sec: 1.06, Vel m/s: 1.06, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.84, Y: 2.42), Rotation2d(Rads: 0.41, Deg: 23.70)), Curvature: 0.21), 
State(Sec: 1.15, Vel m/s: 1.15, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.92, Y: 2.45), Rotation2d(Rads: 0.43, Deg: 24.59)), Curvature: 0.14), 
