Trajectory - Seconds: 11.07, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: -2.30), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 1.03), 
State(Sec: 0.38, Vel m/s: 0.38, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.37, Y: -2.30), Rotation2d(Rads: 0.08, Deg: 4.33)), Curvature: 1.04), 
State(Sec: 0.54, Vel m/s: 0.54, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.44, Y: -2.29), Rotation2d(Rads: 0.15, Deg: 8.56)), Curvature: 1.03), 
State(Sec: 0.65, Vel m/s: 0.65, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.51, Y: -2.28), Rotation2d(Rads: 0.22, Deg: 12.61)), Curvature: 0.99), 
State(Sec: 0.75, Vel m/s: 0.75, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.58, Y: -2.26), Rotation2d(Rads: 0.29, Deg: 16.44)), Curvature: 0.94), 
State(Sec: 0.84, Vel m/s: 0.84, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.64, Y: -2.24), Rotation2d(Rads: 0.35, Deg: 20.01)), Curvature: 0.88), 
State(Sec: 0.92, Vel m/s: 0.92, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.71, Y: -2.21), Rotation2d(Rads: 0.41, Deg: 23.28)), Curvature: 0.80), 
State(Sec: 0.99, Vel m/s: 0.99, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.77, Y: -2.18), Rotation2d(Rads: 0.46, Deg: 26.23)), Curvature: 0.72), 
State(Sec: 1.05, Vel m/s: 1.05, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.83, Y: -2.15), Rotation2d(Rads: 0.50, Deg: 28.86)), Curvature: 0.63), 
State(Sec: 1.12, Vel m/s: 1.12, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.89, Y: -2.12), Rotation2d(Rads: 0.54, Deg: 31.16)), Curvature: 0.55), 
State(Sec: 1.18, Vel m/s: 1.18, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.95, Y: -2.08), Rotation2d(Rads: 0.58, Deg: 33.14)), Curvature: 0.47), 
State(Sec: 1.23, Vel m/s: 1.23, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.00, Y: -2.04), Rotation2d(Rads: 0.61, Deg: 34.81)), Curvature: 0.39), 
State(Sec: 1.29, Vel m/s: 1.29, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.06, Y: -2.00), Rotation2d(Rads: 0.63, Deg: 36.16)), Curvature: 0.31), 
State(Sec: 1.34, Vel m/s: 1.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.11, Y: -1.96), Rotation2d(Rads: 0.65, Deg: 37.20)), Curvature: 0.23), 
State(Sec: 1.39, Vel m/s: 1.39, Accel m/s/s: 0.95, Pose: Pose2d(Translation2d(X: 1.16, Y: -1.92), Rotation2d(Rads: 0.66, Deg: 37.95)), Curvature: 0.15), 
State(Sec: 1.43, Vel m/s: 1.43, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.22, Y: -1.88), Rotation2d(Rads: 0.67, Deg: 38.39)), Curvature: 0.08), 
State(Sec: 1.48, Vel m/s: 1.39, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.27, Y: -1.84), Rotation2d(Rads: 0.67, Deg: 38.52)), Curvature: -0.01), 
State(Sec: 1.53, Vel m/s: 1.34, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.32, Y: -1.80), Rotation2d(Rads: 0.67, Deg: 38.34)), Curvature: -0.09), 
State(Sec: 1.58, Vel m/s: 1.29, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.37, Y: -1.76), Rotation2d(Rads: 0.66, Deg: 37.83)), Curvature: -0.18), 
State(Sec: 1.68, Vel m/s: 1.19, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.47, Y: -1.68), Rotation2d(Rads: 0.62, Deg: 35.75)), Curvature: -0.40), 
State(Sec: 1.79, Vel m/s: 1.08, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.57, Y: -1.62), Rotation2d(Rads: 0.56, Deg: 32.07)), Curvature: -0.67), 
State(Sec: 1.85, Vel m/s: 1.02, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.62, Y: -1.58), Rotation2d(Rads: 0.52, Deg: 29.54)), Curvature: -0.83), 
State(Sec: 1.90, Vel m/s: 0.96, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.68, Y: -1.56), Rotation2d(Rads: 0.46, Deg: 26.51)), Curvature: -1.02), 
State(Sec: 1.96, Vel m/s: 0.90, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 1.73, Y: -1.53), Rotation2d(Rads: 0.40, Deg: 22.93)), Curvature: -1.21), 
State(Sec: 2.03, Vel m/s: 0.84, Accel m/s/s: -0.79, Pose: Pose2d(Translation2d(X: 1.78, Y: -1.51), Rotation2d(Rads: 0.33, Deg: 18.80)), Curvature: -1.42), 
State(Sec: 2.09, Vel m/s: 0.79, Accel m/s/s: -0.60, Pose: Pose2d(Translation2d(X: 1.83, Y: -1.50), Rotation2d(Rads: 0.25, Deg: 14.10)), Curvature: -1.61), 
State(Sec: 2.13, Vel m/s: 0.77, Accel m/s/s: -0.49, Pose: Pose2d(Translation2d(X: 1.86, Y: -1.49), Rotation2d(Rads: 0.20, Deg: 11.56)), Curvature: -1.70), 
State(Sec: 2.16, Vel m/s: 0.75, Accel m/s/s: -0.37, Pose: Pose2d(Translation2d(X: 1.88, Y: -1.49), Rotation2d(Rads: 0.16, Deg: 8.89)), Curvature: -1.78), 
State(Sec: 2.20, Vel m/s: 0.74, Accel m/s/s: -0.26, Pose: Pose2d(Translation2d(X: 1.91, Y: -1.49), Rotation2d(Rads: 0.11, Deg: 6.12)), Curvature: -1.84), 
State(Sec: 2.24, Vel m/s: 0.73, Accel m/s/s: -0.16, Pose: Pose2d(Translation2d(X: 1.94, Y: -1.48), Rotation2d(Rads: 0.06, Deg: 3.25)), Curvature: -1.89), 
State(Sec: 2.27, Vel m/s: 0.72, Accel m/s/s: -0.05, Pose: Pose2d(Translation2d(X: 1.96, Y: -1.48), Rotation2d(Rads: 0.01, Deg: 0.31)), Curvature: -1.92), 
State(Sec: 2.31, Vel m/s: 0.72, Accel m/s/s: 0.05, Pose: Pose2d(Translation2d(X: 1.99, Y: -1.48), Rotation2d(Rads: -0.05, Deg: -2.69)), Curvature: -1.93), 
State(Sec: 2.35, Vel m/s: 0.72, Accel m/s/s: 0.16, Pose: Pose2d(Translation2d(X: 2.02, Y: -1.48), Rotation2d(Rads: -0.10, Deg: -5.72)), Curvature: -1.92), 
State(Sec: 2.39, Vel m/s: 0.73, Accel m/s/s: 0.26, Pose: Pose2d(Translation2d(X: 2.04, Y: -1.49), Rotation2d(Rads: -0.15, Deg: -8.76)), Curvature: -1.89), 
State(Sec: 2.43, Vel m/s: 0.74, Accel m/s/s: 0.36, Pose: Pose2d(Translation2d(X: 2.07, Y: -1.49), Rotation2d(Rads: -0.21, Deg: -11.79)), Curvature: -1.84), 
State(Sec: 2.46, Vel m/s: 0.75, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.10, Y: -1.50), Rotation2d(Rads: -0.26, Deg: -14.78)), Curvature: -1.77), 
State(Sec: 2.50, Vel m/s: 0.79, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.13, Y: -1.51), Rotation2d(Rads: -0.31, Deg: -17.63)), Curvature: -1.60), 
State(Sec: 2.54, Vel m/s: 0.83, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.16, Y: -1.52), Rotation2d(Rads: -0.35, Deg: -20.26)), Curvature: -1.44), 
State(Sec: 2.61, Vel m/s: 0.90, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.22, Y: -1.54), Rotation2d(Rads: -0.44, Deg: -24.94)), Curvature: -1.17), 
State(Sec: 2.68, Vel m/s: 0.97, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.27, Y: -1.57), Rotation2d(Rads: -0.50, Deg: -28.91)), Curvature: -0.94), 
State(Sec: 2.75, Vel m/s: 1.04, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.33, Y: -1.61), Rotation2d(Rads: -0.56, Deg: -32.30)), Curvature: -0.77), 
State(Sec: 2.82, Vel m/s: 1.11, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.39, Y: -1.65), Rotation2d(Rads: -0.61, Deg: -35.19)), Curvature: -0.63), 
State(Sec: 2.89, Vel m/s: 1.17, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.45, Y: -1.69), Rotation2d(Rads: -0.66, Deg: -37.67)), Curvature: -0.52), 
State(Sec: 2.95, Vel m/s: 1.24, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.51, Y: -1.74), Rotation2d(Rads: -0.69, Deg: -39.82)), Curvature: -0.44), 
State(Sec: 3.01, Vel m/s: 1.30, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.58, Y: -1.79), Rotation2d(Rads: -0.73, Deg: -41.68)), Curvature: -0.37), 
State(Sec: 3.08, Vel m/s: 1.36, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.64, Y: -1.85), Rotation2d(Rads: -0.76, Deg: -43.30)), Curvature: -0.32), 
State(Sec: 3.14, Vel m/s: 1.42, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.70, Y: -1.91), Rotation2d(Rads: -0.78, Deg: -44.71)), Curvature: -0.27), 
State(Sec: 3.20, Vel m/s: 1.48, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.76, Y: -1.97), Rotation2d(Rads: -0.80, Deg: -45.95)), Curvature: -0.23), 
State(Sec: 3.25, Vel m/s: 1.54, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.82, Y: -2.03), Rotation2d(Rads: -0.82, Deg: -47.04)), Curvature: -0.20), 
State(Sec: 3.31, Vel m/s: 1.60, Accel m/s/s: -0.15, Pose: Pose2d(Translation2d(X: 2.88, Y: -2.10), Rotation2d(Rads: -0.84, Deg: -48.00)), Curvature: -0.18), 
State(Sec: 3.36, Vel m/s: 1.59, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.94, Y: -2.16), Rotation2d(Rads: -0.85, Deg: -48.84)), Curvature: -0.16), 
State(Sec: 3.42, Vel m/s: 1.53, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.99, Y: -2.23), Rotation2d(Rads: -0.87, Deg: -49.58)), Curvature: -0.14), 
State(Sec: 3.48, Vel m/s: 1.47, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.05, Y: -2.30), Rotation2d(Rads: -0.88, Deg: -50.22)), Curvature: -0.12), 
State(Sec: 3.54, Vel m/s: 1.41, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.11, Y: -2.37), Rotation2d(Rads: -0.89, Deg: -50.77)), Curvature: -0.10), 
State(Sec: 3.60, Vel m/s: 1.35, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.16, Y: -2.43), Rotation2d(Rads: -0.89, Deg: -51.24)), Curvature: -0.09), 
State(Sec: 3.67, Vel m/s: 1.29, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.21, Y: -2.50), Rotation2d(Rads: -0.90, Deg: -51.62)), Curvature: -0.07), 
State(Sec: 3.73, Vel m/s: 1.22, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.26, Y: -2.56), Rotation2d(Rads: -0.91, Deg: -51.93)), Curvature: -0.06), 
State(Sec: 3.80, Vel m/s: 1.15, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.31, Y: -2.63), Rotation2d(Rads: -0.91, Deg: -52.16)), Curvature: -0.04), 
State(Sec: 3.87, Vel m/s: 1.08, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.36, Y: -2.69), Rotation2d(Rads: -0.91, Deg: -52.29)), Curvature: -0.02), 
State(Sec: 3.94, Vel m/s: 1.01, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.41, Y: -2.75), Rotation2d(Rads: -0.91, Deg: -52.33)), Curvature: 0.00), 
State(Sec: 4.01, Vel m/s: 0.94, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.45, Y: -2.80), Rotation2d(Rads: -0.91, Deg: -52.27)), Curvature: 0.03), 
State(Sec: 4.09, Vel m/s: 0.86, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.49, Y: -2.86), Rotation2d(Rads: -0.91, Deg: -52.07)), Curvature: 0.07), 
State(Sec: 4.16, Vel m/s: 0.79, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.53, Y: -2.90), Rotation2d(Rads: -0.90, Deg: -51.72)), Curvature: 0.13), 
State(Sec: 4.32, Vel m/s: 0.63, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.60, Y: -2.99), Rotation2d(Rads: -0.88, Deg: -50.31)), Curvature: 0.36), 
State(Sec: 4.48, Vel m/s: 0.48, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.66, Y: -3.06), Rotation2d(Rads: -0.82, Deg: -47.15)), Curvature: 1.09), 
State(Sec: 4.55, Vel m/s: 0.40, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.68, Y: -3.08), Rotation2d(Rads: -0.77, Deg: -44.16)), Curvature: 2.12), 
State(Sec: 4.59, Vel m/s: 0.36, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.69, Y: -3.09), Rotation2d(Rads: -0.73, Deg: -41.98)), Curvature: 3.12), 
State(Sec: 4.63, Vel m/s: 0.32, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.70, Y: -3.10), Rotation2d(Rads: -0.68, Deg: -39.09)), Curvature: 4.80), 
State(Sec: 4.67, Vel m/s: 0.28, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.71, Y: -3.11), Rotation2d(Rads: -0.61, Deg: -35.23)), Curvature: 7.29), 
State(Sec: 4.69, Vel m/s: 0.27, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.71, Y: -3.11), Rotation2d(Rads: -0.57, Deg: -32.86)), Curvature: 9.10), 
State(Sec: 4.71, Vel m/s: 0.25, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.72, Y: -3.11), Rotation2d(Rads: -0.53, Deg: -30.11)), Curvature: 11.48), 
State(Sec: 4.72, Vel m/s: 0.23, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.72, Y: -3.11), Rotation2d(Rads: -0.47, Deg: -26.90)), Curvature: 14.61), 
State(Sec: 4.74, Vel m/s: 0.21, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.72, Y: -3.12), Rotation2d(Rads: -0.40, Deg: -23.14)), Curvature: 18.72), 
State(Sec: 4.76, Vel m/s: 0.19, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.73, Y: -3.12), Rotation2d(Rads: -0.33, Deg: -18.71)), Curvature: 24.07), 
State(Sec: 4.77, Vel m/s: 0.18, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.73, Y: -3.12), Rotation2d(Rads: -0.28, Deg: -16.20)), Curvature: 27.27), 
State(Sec: 4.78, Vel m/s: 0.17, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.73, Y: -3.12), Rotation2d(Rads: -0.24, Deg: -13.49)), Curvature: 30.86), 
State(Sec: 4.79, Vel m/s: 0.17, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.73, Y: -3.12), Rotation2d(Rads: -0.18, Deg: -10.55)), Curvature: 34.82), 
