Trajectory - Seconds: 24.84, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.00, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.00)), Curvature: 0.01), 
State(Sec: 0.41, Vel m/s: 0.41, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.08, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.03)), Curvature: 0.01), 
State(Sec: 0.57, Vel m/s: 0.57, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.16, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.07)), Curvature: 0.01), 
State(Sec: 0.70, Vel m/s: 0.70, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.25, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.09)), Curvature: 0.01), 
State(Sec: 0.81, Vel m/s: 0.81, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.33, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.12)), Curvature: 0.00), 
State(Sec: 0.91, Vel m/s: 0.91, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.41, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.14)), Curvature: 0.00), 
State(Sec: 0.99, Vel m/s: 0.99, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.49, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.16)), Curvature: 0.00), 
State(Sec: 1.07, Vel m/s: 1.07, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.57, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.17)), Curvature: 0.00), 
State(Sec: 1.14, Vel m/s: 1.14, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.65, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.19)), Curvature: 0.00), 
State(Sec: 1.21, Vel m/s: 1.21, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.73, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.19)), Curvature: 0.00), 
State(Sec: 1.28, Vel m/s: 1.28, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.81, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.20)), Curvature: 0.00), 
State(Sec: 1.34, Vel m/s: 1.34, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.89, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.20)), Curvature: 0.00), 
State(Sec: 1.39, Vel m/s: 1.39, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 1.97, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.20)), Curvature: -0.00), 
State(Sec: 1.45, Vel m/s: 1.45, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.05, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.20)), Curvature: -0.00), 
State(Sec: 1.50, Vel m/s: 1.50, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.12, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.19)), Curvature: -0.00), 
State(Sec: 1.55, Vel m/s: 1.55, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.20, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.18)), Curvature: -0.00), 
State(Sec: 1.59, Vel m/s: 1.59, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.27, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.16)), Curvature: -0.00), 
State(Sec: 1.64, Vel m/s: 1.64, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.34, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.14)), Curvature: -0.01), 
State(Sec: 1.68, Vel m/s: 1.68, Accel m/s/s: 0.12, Pose: Pose2d(Translation2d(X: 2.41, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.12)), Curvature: -0.01), 
State(Sec: 1.72, Vel m/s: 1.68, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.48, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.09)), Curvature: -0.01), 
State(Sec: 1.76, Vel m/s: 1.64, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.55, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.06)), Curvature: -0.01), 
State(Sec: 1.80, Vel m/s: 1.60, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.61, Y: -2.20), Rotation2d(Rads: 0.00, Deg: 0.02)), Curvature: -0.01), 
State(Sec: 1.84, Vel m/s: 1.56, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.68, Y: -2.20), Rotation2d(Rads: -0.00, Deg: -0.03)), Curvature: -0.01), 
State(Sec: 1.92, Vel m/s: 1.48, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.80, Y: -2.20), Rotation2d(Rads: -0.00, Deg: -0.15)), Curvature: -0.02), 
State(Sec: 2.00, Vel m/s: 1.40, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.91, Y: -2.20), Rotation2d(Rads: -0.01, Deg: -0.31)), Curvature: -0.03), 
State(Sec: 2.08, Vel m/s: 1.33, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.02, Y: -2.20), Rotation2d(Rads: -0.01, Deg: -0.52)), Curvature: -0.04), 
State(Sec: 2.15, Vel m/s: 1.25, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 3.11, Y: -2.20), Rotation2d(Rads: -0.01, Deg: -0.80)), Curvature: -0.06), 
