Trajectory - Seconds: 6.36, States:
State(Sec: 0.00, Vel m/s: -0.00, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.29, Y: 3.27), Rotation2d(Rads: 1.57, Deg: 90.00)), Curvature: -0.00), 
State(Sec: 0.44, Vel m/s: -0.44, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.29, Y: 3.17), Rotation2d(Rads: 1.62, Deg: 93.07)), Curvature: -0.87), 
State(Sec: 0.55, Vel m/s: -0.55, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.29, Y: 3.12), Rotation2d(Rads: 1.67, Deg: 95.87)), Curvature: -0.87), 
State(Sec: 0.65, Vel m/s: -0.65, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.30, Y: 3.05), Rotation2d(Rads: 1.72, Deg: 98.74)), Curvature: -0.74), 
State(Sec: 0.75, Vel m/s: -0.75, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.31, Y: 2.99), Rotation2d(Rads: 1.77, Deg: 101.39)), Curvature: -0.59), 
State(Sec: 0.85, Vel m/s: -0.85, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.33, Y: 2.91), Rotation2d(Rads: 1.81, Deg: 103.73)), Curvature: -0.46), 
State(Sec: 0.95, Vel m/s: -0.95, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.35, Y: 2.82), Rotation2d(Rads: 1.85, Deg: 105.77)), Curvature: -0.36), 
State(Sec: 1.05, Vel m/s: -1.05, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.38, Y: 2.73), Rotation2d(Rads: 1.88, Deg: 107.54)), Curvature: -0.28), 
State(Sec: 1.15, Vel m/s: -1.15, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.41, Y: 2.63), Rotation2d(Rads: 1.90, Deg: 109.11)), Curvature: -0.23), 
State(Sec: 1.24, Vel m/s: -1.24, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.45, Y: 2.52), Rotation2d(Rads: 1.93, Deg: 110.52)), Curvature: -0.20), 
State(Sec: 1.34, Vel m/s: -1.34, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.50, Y: 2.40), Rotation2d(Rads: 1.95, Deg: 111.82)), Curvature: -0.17), 
State(Sec: 1.39, Vel m/s: -1.39, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.52, Y: 2.34), Rotation2d(Rads: 1.96, Deg: 112.45)), Curvature: -0.16), 
State(Sec: 1.43, Vel m/s: -1.43, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.55, Y: 2.28), Rotation2d(Rads: 1.97, Deg: 113.06)), Curvature: -0.16), 
State(Sec: 1.48, Vel m/s: -1.48, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.57, Y: 2.22), Rotation2d(Rads: 1.98, Deg: 113.66)), Curvature: -0.15), 
State(Sec: 1.53, Vel m/s: -1.53, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.60, Y: 2.16), Rotation2d(Rads: 1.99, Deg: 114.26)), Curvature: -0.15), 
State(Sec: 1.57, Vel m/s: -1.57, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.63, Y: 2.09), Rotation2d(Rads: 2.00, Deg: 114.86)), Curvature: -0.15), 
State(Sec: 1.61, Vel m/s: -1.61, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.66, Y: 2.03), Rotation2d(Rads: 2.02, Deg: 115.47)), Curvature: -0.15), 
State(Sec: 1.66, Vel m/s: -1.66, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.69, Y: 1.97), Rotation2d(Rads: 2.03, Deg: 116.08)), Curvature: -0.15), 
State(Sec: 1.70, Vel m/s: -1.70, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 2.72, Y: 1.90), Rotation2d(Rads: 2.04, Deg: 116.70)), Curvature: -0.15), 
State(Sec: 1.74, Vel m/s: -1.74, Accel m/s/s: -0.47, Pose: Pose2d(Translation2d(X: 2.76, Y: 1.84), Rotation2d(Rads: 2.05, Deg: 117.34)), Curvature: -0.16), 
State(Sec: 1.78, Vel m/s: -1.76, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 2.79, Y: 1.77), Rotation2d(Rads: 2.06, Deg: 118.00)), Curvature: -0.16), 
