Trajectory - Seconds: 4.26, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.27), Rotation2d(Rads: -1.57, Deg: -90.00)), Curvature: 0.00), 
State(Sec: 0.25, Vel m/s: 0.50, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.20), Rotation2d(Rads: -1.57, Deg: -90.00)), Curvature: 0.04), 
State(Sec: 0.39, Vel m/s: 0.77, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.12), Rotation2d(Rads: -1.56, Deg: -89.59)), Curvature: 0.11), 
State(Sec: 0.52, Vel m/s: 1.04, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 3.00), Rotation2d(Rads: -1.55, Deg: -88.74)), Curvature: 0.13), 
State(Sec: 0.59, Vel m/s: 1.18, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.58, Y: 2.92), Rotation2d(Rads: -1.54, Deg: -88.18)), Curvature: 0.13), 
State(Sec: 0.66, Vel m/s: 1.31, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.59, Y: 2.84), Rotation2d(Rads: -1.53, Deg: -87.54)), Curvature: 0.13), 
State(Sec: 0.73, Vel m/s: 1.45, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.59, Y: 2.74), Rotation2d(Rads: -1.52, Deg: -86.81)), Curvature: 0.13), 
State(Sec: 0.80, Vel m/s: 1.59, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.60, Y: 2.64), Rotation2d(Rads: -1.50, Deg: -85.98)), Curvature: 0.14), 
State(Sec: 0.86, Vel m/s: 1.73, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.61, Y: 2.52), Rotation2d(Rads: -1.48, Deg: -85.05)), Curvature: 0.15), 
State(Sec: 0.93, Vel m/s: 1.86, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.62, Y: 2.40), Rotation2d(Rads: -1.47, Deg: -83.99)), Curvature: 0.16), 
State(Sec: 1.00, Vel m/s: 1.99, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.63, Y: 2.28), Rotation2d(Rads: -1.44, Deg: -82.79)), Curvature: 0.17), 
State(Sec: 1.03, Vel m/s: 2.06, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.64, Y: 2.21), Rotation2d(Rads: -1.43, Deg: -82.12)), Curvature: 0.18), 
State(Sec: 1.06, Vel m/s: 2.12, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.65, Y: 2.15), Rotation2d(Rads: -1.42, Deg: -81.41)), Curvature: 0.19), 
State(Sec: 1.09, Vel m/s: 2.18, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.66, Y: 2.08), Rotation2d(Rads: -1.41, Deg: -80.64)), Curvature: 0.21), 
State(Sec: 1.12, Vel m/s: 2.24, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.67, Y: 2.01), Rotation2d(Rads: -1.39, Deg: -79.82)), Curvature: 0.22), 
State(Sec: 1.15, Vel m/s: 2.30, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.68, Y: 1.95), Rotation2d(Rads: -1.38, Deg: -78.93)), Curvature: 0.24), 
State(Sec: 1.18, Vel m/s: 2.36, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 4.70, Y: 1.88), Rotation2d(Rads: -1.36, Deg: -77.98)), Curvature: 0.26), 
State(Sec: 1.21, Vel m/s: 2.42, Accel m/s/s: -1.48, Pose: Pose2d(Translation2d(X: 4.71, Y: 1.82), Rotation2d(Rads: -1.34, Deg: -76.95)), Curvature: 0.28), 
State(Sec: 1.24, Vel m/s: 2.38, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.73, Y: 1.75), Rotation2d(Rads: -1.32, Deg: -75.83)), Curvature: 0.30), 
State(Sec: 1.26, Vel m/s: 2.32, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.74, Y: 1.69), Rotation2d(Rads: -1.30, Deg: -74.62)), Curvature: 0.33), 
State(Sec: 1.29, Vel m/s: 2.26, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.76, Y: 1.62), Rotation2d(Rads: -1.28, Deg: -73.31)), Curvature: 0.36), 
State(Sec: 1.32, Vel m/s: 2.20, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.78, Y: 1.56), Rotation2d(Rads: -1.25, Deg: -71.89)), Curvature: 0.40), 
State(Sec: 1.35, Vel m/s: 2.15, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.80, Y: 1.50), Rotation2d(Rads: -1.23, Deg: -70.34)), Curvature: 0.45), 
State(Sec: 1.41, Vel m/s: 2.03, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.85, Y: 1.39), Rotation2d(Rads: -1.17, Deg: -66.81)), Curvature: 0.55), 
State(Sec: 1.47, Vel m/s: 1.91, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.90, Y: 1.28), Rotation2d(Rads: -1.09, Deg: -62.61)), Curvature: 0.69), 
State(Sec: 1.53, Vel m/s: 1.78, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.95, Y: 1.18), Rotation2d(Rads: -1.01, Deg: -57.63)), Curvature: 0.86), 
State(Sec: 1.56, Vel m/s: 1.72, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 4.98, Y: 1.14), Rotation2d(Rads: -0.96, Deg: -54.82)), Curvature: 0.96), 
State(Sec: 1.60, Vel m/s: 1.66, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 5.02, Y: 1.09), Rotation2d(Rads: -0.90, Deg: -51.78)), Curvature: 1.06), 
State(Sec: 1.63, Vel m/s: 1.60, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 5.05, Y: 1.05), Rotation2d(Rads: -0.85, Deg: -48.51)), Curvature: 1.17), 
State(Sec: 1.66, Vel m/s: 1.53, Accel m/s/s: -1.74, Pose: Pose2d(Translation2d(X: 5.08, Y: 1.02), Rotation2d(Rads: -0.79, Deg: -45.03)), Curvature: 1.28), 
State(Sec: 1.69, Vel m/s: 1.48, Accel m/s/s: -1.32, Pose: Pose2d(Translation2d(X: 5.12, Y: 0.98), Rotation2d(Rads: -0.72, Deg: -41.36)), Curvature: 1.37), 
State(Sec: 1.72, Vel m/s: 1.43, Accel m/s/s: -0.90, Pose: Pose2d(Translation2d(X: 5.15, Y: 0.95), Rotation2d(Rads: -0.65, Deg: -37.51)), Curvature: 1.46), 
State(Sec: 1.76, Vel m/s: 1.41, Accel m/s/s: -0.46, Pose: Pose2d(Translation2d(X: 5.19, Y: 0.93), Rotation2d(Rads: -0.59, Deg: -33.55)), Curvature: 1.52), 
State(Sec: 1.79, Vel m/s: 1.39, Accel m/s/s: 0.01, Pose: Pose2d(Translation2d(X: 5.23, Y: 0.90), Rotation2d(Rads: -0.52, Deg: -29.51)), Curvature: 1.55), 
State(Sec: 1.82, Vel m/s: 1.39, Accel m/s/s: 0.51, Pose: Pose2d(Translation2d(X: 5.27, Y: 0.88), Rotation2d(Rads: -0.44, Deg: -25.49)), Curvature: 1.55), 
State(Sec: 1.85, Vel m/s: 1.41, Accel m/s/s: 1.08, Pose: Pose2d(Translation2d(X: 5.31, Y: 0.87), Rotation2d(Rads: -0.38, Deg: -21.53)), Curvature: 1.52), 
State(Sec: 1.88, Vel m/s: 1.44, Accel m/s/s: 1.73, Pose: Pose2d(Translation2d(X: 5.35, Y: 0.85), Rotation2d(Rads: -0.31, Deg: -17.72)), Curvature: 1.45), 
State(Sec: 1.91, Vel m/s: 1.49, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 5.40, Y: 0.84), Rotation2d(Rads: -0.25, Deg: -14.13)), Curvature: 1.34), 
State(Sec: 1.94, Vel m/s: 1.55, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 5.44, Y: 0.83), Rotation2d(Rads: -0.19, Deg: -10.81)), Curvature: 1.22), 
State(Sec: 1.97, Vel m/s: 1.61, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 5.49, Y: 0.82), Rotation2d(Rads: -0.14, Deg: -7.82)), Curvature: 1.07), 
State(Sec: 2.03, Vel m/s: 1.72, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 5.58, Y: 0.81), Rotation2d(Rads: -0.05, Deg: -2.98)), Curvature: 0.75), 
State(Sec: 2.08, Vel m/s: 1.83, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 5.67, Y: 0.81), Rotation2d(Rads: 0.00, Deg: 0.11)), Curvature: 0.40), 
State(Sec: 2.13, Vel m/s: 1.93, Accel m/s/s: -1.03, Pose: Pose2d(Translation2d(X: 5.77, Y: 0.81), Rotation2d(Rads: 0.02, Deg: 1.20)), Curvature: -0.00), 
State(Sec: 2.18, Vel m/s: 1.88, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 5.86, Y: 0.81), Rotation2d(Rads: 0.04, Deg: 2.16)), Curvature: 0.35), 
State(Sec: 2.23, Vel m/s: 1.77, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 5.96, Y: 0.82), Rotation2d(Rads: 0.09, Deg: 4.87)), Curvature: 0.66), 
State(Sec: 2.29, Vel m/s: 1.67, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.05, Y: 0.83), Rotation2d(Rads: 0.16, Deg: 9.14)), Curvature: 0.96), 
State(Sec: 2.31, Vel m/s: 1.61, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.09, Y: 0.84), Rotation2d(Rads: 0.21, Deg: 11.80)), Curvature: 1.10), 
State(Sec: 2.34, Vel m/s: 1.56, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.13, Y: 0.85), Rotation2d(Rads: 0.26, Deg: 14.78)), Curvature: 1.22), 
State(Sec: 2.37, Vel m/s: 1.50, Accel m/s/s: -1.63, Pose: Pose2d(Translation2d(X: 6.18, Y: 0.86), Rotation2d(Rads: 0.31, Deg: 18.03)), Curvature: 1.34), 
State(Sec: 2.40, Vel m/s: 1.45, Accel m/s/s: -1.05, Pose: Pose2d(Translation2d(X: 6.22, Y: 0.88), Rotation2d(Rads: 0.38, Deg: 21.53)), Curvature: 1.43), 
State(Sec: 2.43, Vel m/s: 1.42, Accel m/s/s: -0.54, Pose: Pose2d(Translation2d(X: 6.26, Y: 0.89), Rotation2d(Rads: 0.44, Deg: 25.21)), Curvature: 1.49), 
State(Sec: 2.46, Vel m/s: 1.40, Accel m/s/s: -0.08, Pose: Pose2d(Translation2d(X: 6.30, Y: 0.91), Rotation2d(Rads: 0.51, Deg: 29.01)), Curvature: 1.53), 
State(Sec: 2.49, Vel m/s: 1.40, Accel m/s/s: 0.36, Pose: Pose2d(Translation2d(X: 6.34, Y: 0.94), Rotation2d(Rads: 0.57, Deg: 32.88)), Curvature: 1.54), 
State(Sec: 2.53, Vel m/s: 1.41, Accel m/s/s: 0.77, Pose: Pose2d(Translation2d(X: 6.37, Y: 0.96), Rotation2d(Rads: 0.64, Deg: 36.76)), Curvature: 1.51), 
State(Sec: 2.56, Vel m/s: 1.43, Accel m/s/s: 1.17, Pose: Pose2d(Translation2d(X: 6.41, Y: 0.99), Rotation2d(Rads: 0.71, Deg: 40.58)), Curvature: 1.46), 
State(Sec: 2.59, Vel m/s: 1.47, Accel m/s/s: 1.56, Pose: Pose2d(Translation2d(X: 6.44, Y: 1.02), Rotation2d(Rads: 0.77, Deg: 44.31)), Curvature: 1.39), 
State(Sec: 2.62, Vel m/s: 1.52, Accel m/s/s: 1.94, Pose: Pose2d(Translation2d(X: 6.47, Y: 1.05), Rotation2d(Rads: 0.84, Deg: 47.88)), Curvature: 1.30), 
State(Sec: 2.65, Vel m/s: 1.58, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.50, Y: 1.09), Rotation2d(Rads: 0.90, Deg: 51.29)), Curvature: 1.21), 
State(Sec: 2.68, Vel m/s: 1.64, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.53, Y: 1.13), Rotation2d(Rads: 0.95, Deg: 54.50)), Curvature: 1.11), 
State(Sec: 2.71, Vel m/s: 1.70, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.56, Y: 1.17), Rotation2d(Rads: 1.00, Deg: 57.50)), Curvature: 1.01), 
State(Sec: 2.74, Vel m/s: 1.76, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.59, Y: 1.21), Rotation2d(Rads: 1.05, Deg: 60.30)), Curvature: 0.91), 
State(Sec: 2.77, Vel m/s: 1.82, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.61, Y: 1.26), Rotation2d(Rads: 1.10, Deg: 62.90)), Curvature: 0.82), 
State(Sec: 2.83, Vel m/s: 1.93, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.66, Y: 1.36), Rotation2d(Rads: 1.18, Deg: 67.50)), Curvature: 0.67), 
State(Sec: 2.88, Vel m/s: 2.04, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.70, Y: 1.46), Rotation2d(Rads: 1.25, Deg: 71.41)), Curvature: 0.54), 
State(Sec: 2.94, Vel m/s: 2.16, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.73, Y: 1.58), Rotation2d(Rads: 1.30, Deg: 74.71)), Curvature: 0.44), 
State(Sec: 2.99, Vel m/s: 2.27, Accel m/s/s: 2.00, Pose: Pose2d(Translation2d(X: 6.76, Y: 1.69), Rotation2d(Rads: 1.35, Deg: 77.51)), Curvature: 0.37), 
State(Sec: 3.05, Vel m/s: 2.37, Accel m/s/s: -1.22, Pose: Pose2d(Translation2d(X: 6.78, Y: 1.82), Rotation2d(Rads: 1.39, Deg: 79.89)), Curvature: 0.31), 
State(Sec: 3.10, Vel m/s: 2.31, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.80, Y: 1.94), Rotation2d(Rads: 1.43, Deg: 81.91)), Curvature: 0.26), 
State(Sec: 3.16, Vel m/s: 2.20, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.82, Y: 2.06), Rotation2d(Rads: 1.46, Deg: 83.64)), Curvature: 0.22), 
State(Sec: 3.21, Vel m/s: 2.08, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.83, Y: 2.19), Rotation2d(Rads: 1.49, Deg: 85.12)), Curvature: 0.19), 
State(Sec: 3.27, Vel m/s: 1.96, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.84, Y: 2.31), Rotation2d(Rads: 1.51, Deg: 86.39)), Curvature: 0.17), 
State(Sec: 3.34, Vel m/s: 1.84, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.42), Rotation2d(Rads: 1.53, Deg: 87.47)), Curvature: 0.15), 
State(Sec: 3.40, Vel m/s: 1.71, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.53), Rotation2d(Rads: 1.54, Deg: 88.38)), Curvature: 0.13), 
State(Sec: 3.46, Vel m/s: 1.58, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.64), Rotation2d(Rads: 1.56, Deg: 89.14)), Curvature: 0.12), 
State(Sec: 3.53, Vel m/s: 1.45, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.74), Rotation2d(Rads: 1.57, Deg: 89.75)), Curvature: 0.10), 
State(Sec: 3.59, Vel m/s: 1.32, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.83), Rotation2d(Rads: 1.57, Deg: 90.23)), Curvature: 0.08), 
State(Sec: 3.66, Vel m/s: 1.19, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.91), Rotation2d(Rads: 1.58, Deg: 90.55)), Curvature: 0.06), 
State(Sec: 3.73, Vel m/s: 1.06, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 2.99), Rotation2d(Rads: 1.58, Deg: 90.73)), Curvature: 0.02), 
State(Sec: 3.80, Vel m/s: 0.92, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 3.06), Rotation2d(Rads: 1.58, Deg: 90.75)), Curvature: -0.02), 
State(Sec: 3.94, Vel m/s: 0.62, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 3.17), Rotation2d(Rads: 1.58, Deg: 90.38)), Curvature: -0.09), 
State(Sec: 4.26, Vel m/s: 0.00, Accel m/s/s: -2.00, Pose: Pose2d(Translation2d(X: 6.85, Y: 3.27), Rotation2d(Rads: 1.57, Deg: 90.00)), Curvature: 0.00)
